rowID,meanFWHM
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_01,3.740378354
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_02,4.100067075
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_03,6.326260802
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_04,6.066305263
ZT10_16X6x_gg_800nm_m5_roi2_00003_ROIs_classA_05,NaN
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_01,5.886712745
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_02,4.67920677
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_03,6.691620724
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_04,6.233090592
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_05,5.106043612
ZT10_16X6x_gg_800nm_m6_roi1_00001_ROIs_classA_06,NaN
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_01,4.079630377
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_02,3.446943337
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_03,4.057460351
ZT10_16X6x_gg_800nm_m7_roi1_00001_ROIs_classA_04,NaN